Change,Wins,Loses,Highest,Lowest,Top Scorer,Lowest Scorer,Luck,Actual Wins,Points For,Points Against,Shelled,Lowest Faced
--,37,8,157.9,106.2,2,0,0.8888888888888893,5.0,679.6,506.20000000000005,0,0
--,35,10,151.2,110.5,1,0,0.11111111111111116,4.0,669.0,556.6,0,1
--,32,13,172.9,96.4,2,0,0.4444444444444442,4.0,672.9,496.2,1,0
+2,24,21,134.8,108.7,0,0,0.3333333333333335,3.0,584.5999999999999,557.1,0,1
-1,24,21,129.9,98.5,0,0,-0.6666666666666665,2.0,568.8000000000001,616.7,1,1
+1,21,24,140.9,81.2,0,0,-1.3333333333333335,1.0,563.4000000000001,636.2,0,0
-2,18,27,133.9,60.0,0,1,2.0,4.0,506.8,499.9,0,1
--,17,28,127.0,86.5,0,1,-0.8888888888888888,1.0,524.2,596.6,0,0
--,11,34,126.7,70.0,0,2,-0.2222222222222221,1.0,469.3,531.5,0,1
--,6,39,110.3,67.0,0,1,-0.6666666666666666,0.0,426.5,668.0999999999999,3,0
